target,ebeam,hms_p,hms_th,shms_p,shms_th,x,Q2,z,thpq,run_type
C,10.6716,-3.642,16.75,2.615,10.305,0.25,3.3,0.36,2.0,PI+SIDIS
Cu,10.6716,-3.642,16.75,2.615,10.305,0.25,3.3,0.36,2.0,PI+SIDIS
LD2,10.6716,-3.642,16.755,-3.632,8.11,0.25,3.3,0.36,-0.2,PI-SIDIS
LD2,10.6716,-3.642,16.75,2.615,10.305,0.25,3.3,0.36,2.0,PI+SIDIS
LH2,10.6716,-3.642,16.755,3.632,8.11,0.25,3.3,0.36,-0.2,PI+SIDIS
LH2,10.6716,-3.642,16.755,-3.632,8.11,0.25,3.3,0.36,-0.2,PI-SIDIS
LH2,10.6716,-3.642,16.75,2.615,10.305,0.25,3.3,0.36,2.0,PI+SIDIS
LH2,10.6716,-3.642,16.75,-2.615,10.305,0.25,3.3,0.36,2.0,PI-SIDIS
Al,10.6716,-3.642,16.75,3.632,10.305,0.25,3.3,0.5,2.0,PI+SIDIS
C,10.6716,-3.642,16.75,3.632,7.51,0.25,3.3,0.5,-0.8,PI+SIDIS
C,10.6716,-3.642,16.75,-3.632,7.51,0.25,3.3,0.5,-0.8,PI-SIDIS
C,10.6716,-3.642,16.75,3.632,10.305,0.25,3.3,0.5,2.0,PI+SIDIS
C,10.6716,-3.642,16.75,-3.632,10.305,0.25,3.3,0.5,2.0,PI-SIDIS
C,10.6716,-3.642,16.75,3.632,13.51,0.25,3.3,0.5,5.2,PI+SIDIS
Cu,10.6716,-3.642,16.75,3.632,7.51,0.25,3.3,0.5,-0.8,PI+SIDIS
Cu,10.6716,-3.642,16.75,-3.632,7.51,0.25,3.3,0.5,-0.8,PI-SIDIS
Cu,10.6716,-3.642,16.75,3.632,10.305,0.25,3.3,0.5,2.0,PI+SIDIS
Cu,10.6716,-3.642,16.75,-3.632,10.305,0.25,3.3,0.5,2.0,PI-SIDIS
Cu,10.6716,-3.642,16.75,3.632,13.51,0.25,3.3,0.5,5.2,PI+SIDIS
LD2,10.6716,-3.642,16.75,3.632,7.51,0.25,3.3,0.5,-0.8,PI+SIDIS
LD2,10.6716,-3.642,16.75,-3.632,7.51,0.25,3.3,0.5,-0.8,PI-SIDIS
LD2,10.6716,-3.642,16.75,3.632,10.305,0.25,3.3,0.5,2.0,PI+SIDIS
LD2,10.6716,-3.642,16.75,-3.632,10.305,0.25,3.3,0.5,2.0,PI-SIDIS
LD2,10.6716,-3.642,16.75,3.632,13.51,0.25,3.3,0.5,5.2,PI+SIDIS
LH2,10.6716,-3.642,16.75,3.632,7.51,0.25,3.3,0.5,-0.8,PI+SIDIS
LH2,10.6716,-3.642,16.75,-3.632,7.51,0.25,3.3,0.5,-0.8,PI-SIDIS
LH2,10.6716,-3.642,16.75,3.632,10.305,0.25,3.3,0.5,2.0,PI+SIDIS
LH2,10.6716,-3.642,16.75,-3.632,10.305,0.25,3.3,0.5,2.0,PI-SIDIS
LH2,10.6716,-3.642,16.75,3.632,13.51,0.25,3.3,0.5,5.2,PI+SIDIS
LH2,10.6716,-3.642,16.75,-3.632,13.51,0.25,3.3,0.5,5.2,PI-SIDIS
LH2,10.6716,-3.642,16.75,3.632,16.81,0.25,3.3,0.5,8.5,PI+SIDIS
LH2,10.6716,-3.642,16.75,-3.632,16.81,0.25,3.3,0.5,8.5,PI-SIDIS
C,10.6716,-3.642,16.75,4.868,7.51,0.25,3.3,0.67,-0.8,PI+SIDIS
C,10.6716,-3.642,16.75,-4.868,7.51,0.25,3.3,0.67,-0.8,PI-SIDIS
C,10.6716,-3.642,16.75,4.868,10.305,0.25,3.3,0.67,2.0,PI+SIDIS
C,10.6716,-3.642,16.75,-4.868,10.305,0.25,3.3,0.67,2.0,PI-SIDIS
Cu,10.6716,-3.642,16.75,4.868,7.51,0.25,3.3,0.67,-0.8,PI+SIDIS
Cu,10.6716,-3.642,16.75,-4.868,7.51,0.25,3.3,0.67,-0.8,PI-SIDIS
Cu,10.6716,-3.642,16.75,4.868,10.305,0.25,3.3,0.67,2.0,PI+SIDIS
Cu,10.6716,-3.642,16.75,-4.868,10.305,0.25,3.3,0.67,2.0,PI-SIDIS
LD2,10.6716,-3.642,16.75,4.868,7.51,0.25,3.3,0.67,-0.8,PI+SIDIS
LD2,10.6716,-3.642,16.75,-4.868,7.51,0.25,3.3,0.67,-0.8,PI-SIDIS
LD2,10.6716,-3.642,16.75,4.868,10.305,0.25,3.3,0.67,2.0,PI+SIDIS
LD2,10.6716,-3.642,16.75,-4.868,10.305,0.25,3.3,0.67,2.0,PI-SIDIS
LH2,10.6716,-3.642,16.75,4.868,7.51,0.25,3.3,0.67,-0.8,PI+SIDIS
LH2,10.6716,-3.642,16.75,-4.868,7.51,0.25,3.3,0.67,-0.8,PI-SIDIS
LH2,10.6716,-3.642,16.75,4.868,10.305,0.25,3.3,0.67,2.0,PI+SIDIS
LH2,10.6716,-3.642,16.75,-4.868,10.305,0.25,3.3,0.67,2.0,PI-SIDIS
C,10.6716,-3.642,16.75,6.538,7.51,0.25,3.3,0.9,-0.8,PI+SIDIS
C,10.6716,-3.642,16.75,-6.538,7.51,0.25,3.3,0.9,-0.8,PI-SIDIS
C,10.6716,-3.642,16.75,6.538,10.305,0.25,3.3,0.9,2.0,PI+SIDIS
Cu,10.6716,-3.642,16.75,6.538,7.51,0.25,3.3,0.9,-0.8,PI+SIDIS
Cu,10.6716,-3.642,16.75,-6.538,7.51,0.25,3.3,0.9,-0.8,PI-SIDIS
Cu,10.6716,-3.642,16.75,6.538,10.305,0.25,3.3,0.9,2.0,PI+SIDIS
LD2,10.6716,-3.642,16.75,6.538,7.51,0.25,3.3,0.9,-0.8,PI+SIDIS
LD2,10.6716,-3.642,16.75,-6.538,7.51,0.25,3.3,0.9,-0.8,PI-SIDIS
LD2,10.6716,-3.642,16.75,6.538,10.305,0.25,3.3,0.9,2.0,PI+SIDIS
LD2,10.6716,-3.642,16.75,-6.538,10.305,0.25,3.3,0.9,2.0,PI-SIDIS
LH2,10.6716,-3.642,16.75,6.538,7.51,0.25,3.3,0.9,-0.8,PI+SIDIS
LH2,10.6716,-3.642,16.75,-6.538,7.51,0.25,3.3,0.9,-0.8,PI-SIDIS
LH2,10.6716,-3.642,16.75,6.538,10.305,0.25,3.3,0.9,2.0,PI+SIDIS
LH2,10.6716,-3.642,16.75,-6.538,10.305,0.25,3.3,0.9,2.0,PI-SIDIS
